composer,filename,npy_path,time_steps,file_kb
bach,AveMaria.mid,processed\cnn\bach\AveMaria.npy,328,28.3
bach,01_Menuet.mid,processed\cnn\bach\01_Menuet.npy,441,38.0
bach,02_Menuet.mid,processed\cnn\bach\02_Menuet.npy,357,30.8
bach,03_Menuet.mid,processed\cnn\bach\03_Menuet.npy,398,34.3
bach,04_Menuet.mid,processed\cnn\bach\04_Menuet.npy,482,41.5
bach,05_Polonaise.mid,processed\cnn\bach\05_Polonaise.npy,658,56.7
bach,06_Menuet.mid,processed\cnn\bach\06_Menuet.npy,339,29.3
bach,07_Rondo.mid,processed\cnn\bach\07_Rondo.npy,838,72.1
bach,08_Polonaise.mid,processed\cnn\bach\08_Polonaise.npy,237,20.5
bach,09_Menuet.mid,processed\cnn\bach\09_Menuet.npy,351,30.3
bach,10_Menuet.mid,processed\cnn\bach\10_Menuet.npy,296,25.6
bach,11_Marche.mid,processed\cnn\bach\11_Marche.npy,226,19.5
bach,12_Polonaise.mid,processed\cnn\bach\12_Polonaise.npy,251,21.7
bach,13_Marche.mid,processed\cnn\bach\13_Marche.npy,385,33.2
bach,14_Polonaise.mid,processed\cnn\bach\14_Polonaise.npy,345,29.8
bach,15_Musette.mid,processed\cnn\bach\15_Musette.npy,255,22.0
bach,16_Marche.mid,processed\cnn\bach\16_Marche.npy,409,35.3
bach,17_Polonaise.mid,processed\cnn\bach\17_Polonaise.npy,266,23.0
bach,003706b_.mid,processed\cnn\bach\003706b_.npy,187,16.2
bach,003806b_.mid,processed\cnn\bach\003806b_.npy,180,15.6
bach,003907b_.mid,processed\cnn\bach\003907b_.npy,170,14.7
bach,003907bv.mid,processed\cnn\bach\003907bv.npy,170,14.7
bach,004003b_.mid,processed\cnn\bach\004003b_.npy,120,10.4
bach,004006b_.mid,processed\cnn\bach\004006b_.npy,160,13.9
bach,004008b_.mid,processed\cnn\bach\004008b_.npy,246,21.3
bach,004106b_.mid,processed\cnn\bach\004106b_.npy,403,34.8
bach,004106bs.mid,processed\cnn\bach\004106bs.npy,352,30.4
bach,004207b_.mid,processed\cnn\bach\004207b_.npy,280,24.2
bach,004311b_.mid,processed\cnn\bach\004311b_.npy,192,16.6
bach,004407b_.mid,processed\cnn\bach\004407b_.npy,119,10.4
bach,004507b_.mid,processed\cnn\bach\004507b_.npy,167,14.5
bach,004606b_.mid,processed\cnn\bach\004606b_.npy,239,20.7
bach,004606bs.mid,processed\cnn\bach\004606bs.npy,172,14.9
bach,004705b_.mid,processed\cnn\bach\004705b_.npy,110,9.6
bach,004803b_.mid,processed\cnn\bach\004803b_.npy,110,9.6
bach,004807b_.mid,processed\cnn\bach\004807b_.npy,160,13.9
bach,005206b_.mid,processed\cnn\bach\005206b_.npy,141,12.2
bach,005505b_.mid,processed\cnn\bach\005505b_.npy,165,14.3
bach,005605b_.mid,processed\cnn\bach\005605b_.npy,220,19.0
bach,005708b_.mid,processed\cnn\bach\005708b_.npy,138,12.0
bach,005903b_.mid,processed\cnn\bach\005903b_.npy,267,23.1
bach,006005b_.mid,processed\cnn\bach\006005b_.npy,218,18.9
bach,006106b_.mid,processed\cnn\bach\006106b_.npy,189,16.4
bach,006206b_.mid,processed\cnn\bach\006206b_.npy,80,7.0
bach,006206bv.mid,processed\cnn\bach\006206bv.npy,80,7.0
bach,006402b_.mid,processed\cnn\bach\006402b_.npy,110,9.6
bach,006404b_.mid,processed\cnn\bach\006404b_.npy,163,14.1
bach,006408b_.mid,processed\cnn\bach\006408b_.npy,190,16.5
bach,006502b_.mid,processed\cnn\bach\006502b_.npy,125,10.9
bach,006507b_.mid,processed\cnn\bach\006507b_.npy,200,17.3
bach,006606b_.mid,processed\cnn\bach\006606b_.npy,100,8.7
bach,006704b_.mid,processed\cnn\bach\006704b_.npy,114,9.9
bach,006707b_.mid,processed\cnn\bach\006707b_.npy,152,13.2
bach,006906b_.mid,processed\cnn\bach\006906b_.npy,240,20.8
bach,006906ba.mid,processed\cnn\bach\006906ba.npy,150,13.0
bach,006906bav.mid,processed\cnn\bach\006906bav.npy,150,13.0
bach,007007b_.mid,processed\cnn\bach\007007b_.npy,165,14.3
bach,007011b_.mid,processed\cnn\bach\007011b_.npy,141,12.2
bach,007011ch.mid,processed\cnn\bach\007011ch.npy,141,12.2
bach,007206b_.mid,processed\cnn\bach\007206b_.npy,200,17.3
bach,007305b_.mid,processed\cnn\bach\007305b_.npy,156,13.5
bach,007305bv.mid,processed\cnn\bach\007305bv.npy,156,13.5
bach,007408b_.mid,processed\cnn\bach\007408b_.npy,140,12.2
bach,007507b_.mid,processed\cnn\bach\007507b_.npy,404,34.8
bach,007514b_.mid,processed\cnn\bach\007514b_.npy,404,34.8
bach,007607b_.mid,processed\cnn\bach\007607b_.npy,453,39.1
bach,007614b_.mid,processed\cnn\bach\007614b_.npy,453,39.1
bach,007706b_.mid,processed\cnn\bach\007706b_.npy,180,15.6
bach,007807b_.mid,processed\cnn\bach\007807b_.npy,160,13.9
bach,007903b_.mid,processed\cnn\bach\007903b_.npy,595,51.3
bach,007903bs.mid,processed\cnn\bach\007903bs.npy,144,12.5
bach,007906b_.mid,processed\cnn\bach\007906b_.npy,95,8.3
bach,008008b_.mid,processed\cnn\bach\008008b_.npy,170,14.7
bach,008107b_.mid,processed\cnn\bach\008107b_.npy,198,17.1
bach,008305b_.mid,processed\cnn\bach\008305b_.npy,130,11.3
bach,008405b_.mid,processed\cnn\bach\008405b_.npy,150,13.0
bach,008506b_.mid,processed\cnn\bach\008506b_.npy,150,13.0
bach,008606b_.mid,processed\cnn\bach\008606b_.npy,150,13.0
bach,008707b_.mid,processed\cnn\bach\008707b_.npy,190,16.5
bach,008807b_.mid,processed\cnn\bach\008807b_.npy,144,12.5
bach,008906b_.mid,processed\cnn\bach\008906b_.npy,135,11.7
bach,009005b_.mid,processed\cnn\bach\009005b_.npy,130,11.3
bach,009106b_.mid,processed\cnn\bach\009106b_.npy,110,9.6
bach,009106ch.mid,processed\cnn\bach\009106ch.npy,110,9.6
bach,009207b_.mid,processed\cnn\bach\009207b_.npy,467,40.3
bach,009209b_.mid,processed\cnn\bach\009209b_.npy,218,18.9
bach,009307b_.mid,processed\cnn\bach\009307b_.npy,160,13.9
bach,009408b_.mid,processed\cnn\bach\009408b_.npy,170,14.7
bach,009507b_.mid,processed\cnn\bach\009507b_.npy,153,13.3
bach,009606b_.mid,processed\cnn\bach\009606b_.npy,150,13.0
bach,009709b_.mid,processed\cnn\bach\009709b_.npy,135,11.7
bach,009709ch.mid,processed\cnn\bach\009709ch.npy,130,11.3
bach,009801b_.mid,processed\cnn\bach\009801b_.npy,1054,90.7
bach,009906b_.mid,processed\cnn\bach\009906b_.npy,150,13.0
bach,010006b_.mid,processed\cnn\bach\010006b_.npy,498,42.9
bach,010107b_.mid,processed\cnn\bach\010107b_.npy,130,11.3
bach,010107bv.mid,processed\cnn\bach\010107bv.npy,130,11.3
bach,010207b_.mid,processed\cnn\bach\010207b_.npy,119,10.4
bach,010306b_.mid,processed\cnn\bach\010306b_.npy,170,14.7
bach,010406b_.mid,processed\cnn\bach\010406b_.npy,150,13.0
bach,010406bv.mid,processed\cnn\bach\010406bv.npy,150,13.0
bach,010506b_.mid,processed\cnn\bach\010506b_.npy,319,27.5
bach,010602b_.mid,processed\cnn\bach\010602b_.npy,527,45.4
bach,010707b_.mid,processed\cnn\bach\010707b_.npy,420,36.2
bach,010806b_.mid,processed\cnn\bach\010806b_.npy,159,13.8
bach,011007b_.mid,processed\cnn\bach\011007b_.npy,120,10.4
bach,011106b_.mid,processed\cnn\bach\011106b_.npy,210,18.2
bach,011205b_.mid,processed\cnn\bach\011205b_.npy,150,13.0
bach,011308b_.mid,processed\cnn\bach\011308b_.npy,160,13.9
bach,011407b_.mid,processed\cnn\bach\011407b_.npy,159,13.8
bach,011506b_.mid,processed\cnn\bach\011506b_.npy,140,12.2
bach,011506bv.mid,processed\cnn\bach\011506bv.npy,140,12.2
bach,011606b_.mid,processed\cnn\bach\011606b_.npy,140,12.2
bach,011704b_.mid,processed\cnn\bach\011704b_.npy,154,13.4
bach,011704v1.mid,processed\cnn\bach\011704v1.npy,154,13.4
bach,011704v2.mid,processed\cnn\bach\011704v2.npy,154,13.4
bach,011909b_.mid,processed\cnn\bach\011909b_.npy,176,15.2
bach,012006b_.mid,processed\cnn\bach\012006b_.npy,170,14.7
bach,012008ba.mid,processed\cnn\bach\012008ba.npy,131,11.4
bach,012106b_.mid,processed\cnn\bach\012106b_.npy,170,14.7
bach,012206b_.mid,processed\cnn\bach\012206b_.npy,115,10.0
bach,012306b_.mid,processed\cnn\bach\012306b_.npy,216,18.7
bach,012406b_.mid,processed\cnn\bach\012406b_.npy,127,11.0
bach,012506b_.mid,processed\cnn\bach\012506b_.npy,130,11.3
bach,012606b_.mid,processed\cnn\bach\012606b_.npy,285,24.6
bach,012606bv.mid,processed\cnn\bach\012606bv.npy,285,24.6
bach,012705b_.mid,processed\cnn\bach\012705b_.npy,138,12.0
bach,012805b_.mid,processed\cnn\bach\012805b_.npy,170,14.7
bach,012905b_.mid,processed\cnn\bach\012905b_.npy,552,47.6
bach,013006b_.mid,processed\cnn\bach\013006b_.npy,113,9.8
bach,013306b_.mid,processed\cnn\bach\013306b_.npy,170,14.7
bach,013506b_.mid,processed\cnn\bach\013506b_.npy,170,14.7
bach,013606b_.mid,processed\cnn\bach\013606b_.npy,144,12.5
bach,013701b_.mid,processed\cnn\bach\013701b_.npy,954,82.1
bach,013702b_.mid,processed\cnn\bach\013702b_.npy,848,73.0
bach,013703b_.mid,processed\cnn\bach\013703b_.npy,868,74.7
bach,013705b_.mid,processed\cnn\bach\013705b_.npy,131,11.4
bach,013705ch.mid,processed\cnn\bach\013705ch.npy,131,11.4
bach,013807b_.mid,processed\cnn\bach\013807b_.npy,577,49.7
bach,013906b_.mid,processed\cnn\bach\013906b_.npy,127,11.0
bach,014001b_.mid,processed\cnn\bach\014001b_.npy,1677,144.2
bach,014004b_.mid,processed\cnn\bach\014004b_.npy,947,81.5
bach,014007b_.mid,processed\cnn\bach\014007b_.npy,269,23.2
bach,014403b_.mid,processed\cnn\bach\014403b_.npy,150,13.0
bach,014406b_.mid,processed\cnn\bach\014406b_.npy,210,18.2
bach,014500ba.mid,processed\cnn\bach\014500ba.npy,120,10.4
bach,014505b_.mid,processed\cnn\bach\014505b_.npy,129,11.2
bach,014505bv.mid,processed\cnn\bach\014505bv.npy,129,11.2
bach,014608b_.mid,processed\cnn\bach\014608b_.npy,165,14.3
bach,014706b_.mid,processed\cnn\bach\014706b_.npy,567,48.9
bach,014710b_.mid,processed\cnn\bach\014710b_.npy,567,48.9
