composer,filename,npz_path,seq_len
bach,AveMaria.mid,processed\lstm\bach\AveMaria.npz,793
bach,01_Menuet.mid,processed\lstm\bach\01_Menuet.npz,524
bach,02_Menuet.mid,processed\lstm\bach\02_Menuet.npz,428
bach,03_Menuet.mid,processed\lstm\bach\03_Menuet.npz,418
bach,04_Menuet.mid,processed\lstm\bach\04_Menuet.npz,622
bach,05_Polonaise.mid,processed\lstm\bach\05_Polonaise.npz,1034
bach,06_Menuet.mid,processed\lstm\bach\06_Menuet.npz,440
bach,07_Rondo.mid,processed\lstm\bach\07_Rondo.npz,1631
bach,08_Polonaise.mid,processed\lstm\bach\08_Polonaise.npz,296
bach,09_Menuet.mid,processed\lstm\bach\09_Menuet.npz,392
bach,10_Menuet.mid,processed\lstm\bach\10_Menuet.npz,458
bach,11_Marche.mid,processed\lstm\bach\11_Marche.npz,876
bach,12_Polonaise.mid,processed\lstm\bach\12_Polonaise.npz,531
bach,13_Marche.mid,processed\lstm\bach\13_Marche.npz,530
bach,14_Polonaise.mid,processed\lstm\bach\14_Polonaise.npz,706
bach,15_Musette.mid,processed\lstm\bach\15_Musette.npz,482
bach,16_Marche.mid,processed\lstm\bach\16_Marche.npz,786
bach,17_Polonaise.mid,processed\lstm\bach\17_Polonaise.npz,424
bach,003706b_.mid,processed\lstm\bach\003706b_.npz,304
bach,003806b_.mid,processed\lstm\bach\003806b_.npz,253
bach,003907b_.mid,processed\lstm\bach\003907b_.npz,285
bach,003907bv.mid,processed\lstm\bach\003907bv.npz,285
bach,004003b_.mid,processed\lstm\bach\004003b_.npz,204
bach,004006b_.mid,processed\lstm\bach\004006b_.npz,250
bach,004008b_.mid,processed\lstm\bach\004008b_.npz,358
bach,004106b_.mid,processed\lstm\bach\004106b_.npz,927
bach,004106bs.mid,processed\lstm\bach\004106bs.npz,541
bach,004207b_.mid,processed\lstm\bach\004207b_.npz,599
bach,004311b_.mid,processed\lstm\bach\004311b_.npz,261
bach,004407b_.mid,processed\lstm\bach\004407b_.npz,208
bach,004507b_.mid,processed\lstm\bach\004507b_.npz,297
bach,004606b_.mid,processed\lstm\bach\004606b_.npz,851
bach,004606bs.mid,processed\lstm\bach\004606bs.npz,239
bach,004705b_.mid,processed\lstm\bach\004705b_.npz,186
bach,004803b_.mid,processed\lstm\bach\004803b_.npz,157
bach,004807b_.mid,processed\lstm\bach\004807b_.npz,280
bach,005206b_.mid,processed\lstm\bach\005206b_.npz,323
bach,005505b_.mid,processed\lstm\bach\005505b_.npz,278
bach,005605b_.mid,processed\lstm\bach\005605b_.npz,353
bach,005708b_.mid,processed\lstm\bach\005708b_.npz,213
bach,005903b_.mid,processed\lstm\bach\005903b_.npz,745
bach,006005b_.mid,processed\lstm\bach\006005b_.npz,282
bach,006106b_.mid,processed\lstm\bach\006106b_.npz,551
bach,006206b_.mid,processed\lstm\bach\006206b_.npz,188
bach,006206bv.mid,processed\lstm\bach\006206bv.npz,188
bach,006402b_.mid,processed\lstm\bach\006402b_.npz,173
bach,006404b_.mid,processed\lstm\bach\006404b_.npz,368
bach,006408b_.mid,processed\lstm\bach\006408b_.npz,272
bach,006502b_.mid,processed\lstm\bach\006502b_.npz,147
bach,006507b_.mid,processed\lstm\bach\006507b_.npz,332
bach,006606b_.mid,processed\lstm\bach\006606b_.npz,163
bach,006704b_.mid,processed\lstm\bach\006704b_.npz,173
bach,006707b_.mid,processed\lstm\bach\006707b_.npz,190
bach,006906b_.mid,processed\lstm\bach\006906b_.npz,619
bach,006906ba.mid,processed\lstm\bach\006906ba.npz,305
bach,006906bav.mid,processed\lstm\bach\006906bav.npz,245
bach,007007b_.mid,processed\lstm\bach\007007b_.npz,276
bach,007011b_.mid,processed\lstm\bach\007011b_.npz,388
bach,007011ch.mid,processed\lstm\bach\007011ch.npz,221
bach,007206b_.mid,processed\lstm\bach\007206b_.npz,409
bach,007305b_.mid,processed\lstm\bach\007305b_.npz,233
bach,007305bv.mid,processed\lstm\bach\007305bv.npz,233
bach,007408b_.mid,processed\lstm\bach\007408b_.npz,257
bach,007507b_.mid,processed\lstm\bach\007507b_.npz,1256
bach,007514b_.mid,processed\lstm\bach\007514b_.npz,1256
bach,007607b_.mid,processed\lstm\bach\007607b_.npz,1393
bach,007614b_.mid,processed\lstm\bach\007614b_.npz,1393
bach,007706b_.mid,processed\lstm\bach\007706b_.npz,255
bach,007807b_.mid,processed\lstm\bach\007807b_.npz,283
bach,007903b_.mid,processed\lstm\bach\007903b_.npz,1230
bach,007903bs.mid,processed\lstm\bach\007903bs.npz,215
bach,007906b_.mid,processed\lstm\bach\007906b_.npz,231
bach,008008b_.mid,processed\lstm\bach\008008b_.npz,338
bach,008107b_.mid,processed\lstm\bach\008107b_.npz,283
bach,008305b_.mid,processed\lstm\bach\008305b_.npz,202
bach,008405b_.mid,processed\lstm\bach\008405b_.npz,218
bach,008506b_.mid,processed\lstm\bach\008506b_.npz,292
bach,008606b_.mid,processed\lstm\bach\008606b_.npz,270
bach,008707b_.mid,processed\lstm\bach\008707b_.npz,314
bach,008807b_.mid,processed\lstm\bach\008807b_.npz,245
bach,008906b_.mid,processed\lstm\bach\008906b_.npz,193
bach,009005b_.mid,processed\lstm\bach\009005b_.npz,234
bach,009106b_.mid,processed\lstm\bach\009106b_.npz,336
bach,009106ch.mid,processed\lstm\bach\009106ch.npz,197
bach,009207b_.mid,processed\lstm\bach\009207b_.npz,693
bach,009209b_.mid,processed\lstm\bach\009209b_.npz,320
bach,009307b_.mid,processed\lstm\bach\009307b_.npz,220
bach,009408b_.mid,processed\lstm\bach\009408b_.npz,239
bach,009507b_.mid,processed\lstm\bach\009507b_.npz,347
bach,009606b_.mid,processed\lstm\bach\009606b_.npz,219
bach,009709b_.mid,processed\lstm\bach\009709b_.npz,388
bach,009709ch.mid,processed\lstm\bach\009709ch.npz,221
bach,009801b_.mid,processed\lstm\bach\009801b_.npz,2562
bach,009906b_.mid,processed\lstm\bach\009906b_.npz,273
bach,010006b_.mid,processed\lstm\bach\010006b_.npz,2905
bach,010107b_.mid,processed\lstm\bach\010107b_.npz,314
bach,010107bv.mid,processed\lstm\bach\010107bv.npz,326
bach,010207b_.mid,processed\lstm\bach\010207b_.npz,228
bach,010306b_.mid,processed\lstm\bach\010306b_.npz,325
bach,010406b_.mid,processed\lstm\bach\010406b_.npz,280
bach,010406bv.mid,processed\lstm\bach\010406bv.npz,280
bach,010506b_.mid,processed\lstm\bach\010506b_.npz,1128
bach,010602b_.mid,processed\lstm\bach\010602b_.npz,1606
bach,010707b_.mid,processed\lstm\bach\010707b_.npz,1212
bach,010806b_.mid,processed\lstm\bach\010806b_.npz,291
bach,011007b_.mid,processed\lstm\bach\011007b_.npz,206
bach,011106b_.mid,processed\lstm\bach\011106b_.npz,353
bach,011205b_.mid,processed\lstm\bach\011205b_.npz,504
bach,011308b_.mid,processed\lstm\bach\011308b_.npz,285
bach,011407b_.mid,processed\lstm\bach\011407b_.npz,291
bach,011506b_.mid,processed\lstm\bach\011506b_.npz,333
bach,011506bv.mid,processed\lstm\bach\011506bv.npz,333
bach,011606b_.mid,processed\lstm\bach\011606b_.npz,215
bach,011704b_.mid,processed\lstm\bach\011704b_.npz,360
bach,011704v1.mid,processed\lstm\bach\011704v1.npz,366
bach,011704v2.mid,processed\lstm\bach\011704v2.npz,360
bach,011909b_.mid,processed\lstm\bach\011909b_.npz,180
bach,012006b_.mid,processed\lstm\bach\012006b_.npz,294
bach,012008ba.mid,processed\lstm\bach\012008ba.npz,400
bach,012106b_.mid,processed\lstm\bach\012106b_.npz,344
bach,012206b_.mid,processed\lstm\bach\012206b_.npz,198
bach,012306b_.mid,processed\lstm\bach\012306b_.npz,276
bach,012406b_.mid,processed\lstm\bach\012406b_.npz,327
bach,012506b_.mid,processed\lstm\bach\012506b_.npz,215
bach,012606b_.mid,processed\lstm\bach\012606b_.npz,479
bach,012606bv.mid,processed\lstm\bach\012606bv.npz,479
bach,012705b_.mid,processed\lstm\bach\012705b_.npz,242
bach,012805b_.mid,processed\lstm\bach\012805b_.npz,382
bach,012905b_.mid,processed\lstm\bach\012905b_.npz,1885
bach,013006b_.mid,processed\lstm\bach\013006b_.npz,394
bach,013306b_.mid,processed\lstm\bach\013306b_.npz,237
bach,013506b_.mid,processed\lstm\bach\013506b_.npz,276
bach,013606b_.mid,processed\lstm\bach\013606b_.npz,338
bach,013701b_.mid,processed\lstm\bach\013701b_.npz,5094
bach,013702b_.mid,processed\lstm\bach\013702b_.npz,1304
bach,013703b_.mid,processed\lstm\bach\013703b_.npz,1627
bach,013705b_.mid,processed\lstm\bach\013705b_.npz,400
bach,013705ch.mid,processed\lstm\bach\013705ch.npz,206
bach,013807b_.mid,processed\lstm\bach\013807b_.npz,2610
bach,013906b_.mid,processed\lstm\bach\013906b_.npz,226
bach,014001b_.mid,processed\lstm\bach\014001b_.npz,6253
bach,014004b_.mid,processed\lstm\bach\014004b_.npz,1609
bach,014007b_.mid,processed\lstm\bach\014007b_.npz,405
bach,014403b_.mid,processed\lstm\bach\014403b_.npz,270
bach,014406b_.mid,processed\lstm\bach\014406b_.npz,334
bach,014500ba.mid,processed\lstm\bach\014500ba.npz,213
bach,014505b_.mid,processed\lstm\bach\014505b_.npz,176
bach,014505bv.mid,processed\lstm\bach\014505bv.npz,175
bach,014608b_.mid,processed\lstm\bach\014608b_.npz,287
bach,014706b_.mid,processed\lstm\bach\014706b_.npz,1670
bach,014710b_.mid,processed\lstm\bach\014710b_.npz,1670
bach,014806b_.mid,processed\lstm\bach\014806b_.npz,206
bach,014806bv.mid,processed\lstm\bach\014806bv.npz,204
bach,014907b_.mid,processed\lstm\bach\014907b_.npz,768
bach,014907ch.mid,processed\lstm\bach\014907ch.npz,508
bach,015105b_.mid,processed\lstm\bach\015105b_.npz,168
bach,015301b_.mid,processed\lstm\bach\015301b_.npz,271
bach,015305b_.mid,processed\lstm\bach\015305b_.npz,241
bach,015309b_.mid,processed\lstm\bach\015309b_.npz,143
bach,015403b_.mid,processed\lstm\bach\015403b_.npz,274
bach,015408b_.mid,processed\lstm\bach\015408b_.npz,242
bach,015505b_.mid,processed\lstm\bach\015505b_.npz,298
bach,015606b_.mid,processed\lstm\bach\015606b_.npz,278
bach,015705b_.mid,processed\lstm\bach\015705b_.npz,246
bach,015804b_.mid,processed\lstm\bach\015804b_.npz,273
