composer,filename,source_filename,shift,is_augmented
mozart,Symphony_n39_K543_4mov.mid,Symphony_n39_K543_4mov.mid,0,False
bach,037500b_.mid,037500b_.mid,0,False
bach,032100b_.mid,032100b_.mid,0,False
bach,Bwv0998_Prelude_Fugue_Allegro_for_Lute_2mov.mid,Bwv0998_Prelude_Fugue_Allegro_for_Lute_2mov.mid,0,False
chopin,19_Polish_Songs_for_Solo_Voice_and_Piano_accomplements_No6.mid,19_Polish_Songs_for_Solo_Voice_and_Piano_accomplements_No6.mid,0,False
bach,Bwv0796_Sinfonia_n10.mid,Bwv0796_Sinfonia_n10.mid,0,False
chopin,Waltz_in_Ab_Opposth_Brown21.mid,Waltz_in_Ab_Opposth_Brown21.mid,0,False
chopin,Etude_op10_n02.mid,Etude_op10_n02.mid,0,False
bach,15_Et_Incarnatus__Cricifixus.mid,15_Et_Incarnatus__Cricifixus.mid,0,False
beethoven,Sieben_Bagatellen_in_F_Major_Opus33_No3.mid,Sieben_Bagatellen_in_F_Major_Opus33_No3.mid,0,False
bach,Triple_Fugue_n1.mid,Triple_Fugue_n1.mid,0,False
bach,060800qt.mid,060800qt.mid,0,False
bach,Bwv0561_Fantasie_and_Fuga.mid,Bwv0561_Fantasie_and_Fuga.mid,0,False
bach,008906b_.mid,008906b_.mid,0,False
bach,017206vn.mid,017206vn.mid,0,False
beethoven,Sonatina_Fa_maj_woo.mid,Sonatina_Fa_maj_woo.mid,0,False
chopin,Waltz_op64_n1.mid,Waltz_op64_n1.mid,0,False
beethoven,Minuetto.mid,Minuetto.mid,0,False
bach,Wtcii05b.mid,Wtcii05b.mid,0,False
bach,Bwv1068_Orchestral_suite_n3_Gigue.mid,Bwv1068_Orchestral_suite_n3_Gigue.mid,0,False
mozart,K617_Adagio.mid,K617_Adagio.mid,0,False
bach,024853b5.mid,024853b5.mid,0,False
bach,028400b_.mid,028400b_.mid,0,False
mozart,Symphony_n31_K297_1mov_Paris.mid,Symphony_n31_K297_1mov_Paris.mid,0,False
chopin,Prelude_n02_op28_Presentiment_of_Death.mid,Prelude_n02_op28_Presentiment_of_Death.mid,0,False
beethoven,String_Quartet_n2_op18_n2_2mov.mid,String_Quartet_n2_op18_n2_2mov.mid,0,False
bach,006707b_.mid,006707b_.mid,0,False
beethoven,op089_Polonaise.mid,op089_Polonaise.mid,0,False
bach,Bwv0197.mid,Bwv0197.mid,0,False
mozart,K117_Offertorio_Jubilate_Deo.mid,K117_Offertorio_Jubilate_Deo.mid,0,False
bach,Bwv1068_Orchestral_suite_n3_Bourree.mid,Bwv1068_Orchestral_suite_n3_Bourree.mid,0,False
bach,WT1_6B.mid,WT1_6B.mid,0,False
bach,013906b_.mid,013906b_.mid,0,False
beethoven,Sechs_Variationen.mid,Sechs_Variationen.mid,0,False
bach,036700b_.mid,036700b_.mid,0,False
bach,010107b_.mid,010107b_.mid,0,False
mozart,K626_Requiem_10_Sanctus.mid,K626_Requiem_10_Sanctus.mid,0,False
mozart,K626_Requiem_03_tuba_mirum.mid,K626_Requiem_03_tuba_mirum.mid,0,False
bach,Bwv0116.mid,Bwv0116.mid,0,False
mozart,K280_Piano_sonata_n02_2mov.mid,K280_Piano_sonata_n02_2mov.mid,0,False
bach,Piano_version_of_Bachs_two_part_inventions_No6.mid,Piano_version_of_Bachs_two_part_inventions_No6.mid,0,False
bach,08_Chor_Qui_Tollis.mid,08_Chor_Qui_Tollis.mid,0,False
bach,036400b_.mid,036400b_.mid,0,False
bach,Bwv785_Invention_n14.mid,Bwv785_Invention_n14.mid,0,False
bach,060600b_.mid,060600b_.mid,0,False
bach,030300b_.mid,030300b_.mid,0,False
mozart,K317_Coronation_Mass_3mov.mid,K317_Coronation_Mass_3mov.mid,0,False
bach,031600b_.mid,031600b_.mid,0,False
beethoven,Bagatella_op33_n2.mid,Bagatella_op33_n2.mid,0,False
beethoven,String_Quartet_n1_op18_3mov.mid,String_Quartet_n1_op18_3mov.mid,0,False
mozart,K393_Solfeggi_n3.mid,K393_Solfeggi_n3.mid,0,False
beethoven,Sonata_No14_Op_27_Sonata_Quasi_Una_Fantasia.mid,Sonata_No14_Op_27_Sonata_Quasi_Una_Fantasia.mid,0,False
mozart,Piano_Concerto_n7_for_3_Pianos_K242_1mov_Lodron.mid,Piano_Concerto_n7_for_3_Pianos_K242_1mov_Lodron.mid,0,False
bach,Bwv774_Invention_n03.mid,Bwv774_Invention_n03.mid,0,False
bach,065700b_.mid,065700b_.mid,0,False
beethoven,Piano_Sonata_n14_op27_3mov_Moonlight.mid,Piano_Sonata_n14_op27_3mov_Moonlight.mid,0,False
bach,043200b_.mid,043200b_.mid,0,False
bach,Bwv0207.mid,Bwv0207.mid,0,False
bach,Bwv778_Invention_n07.mid,Bwv778_Invention_n07.mid,0,False
bach,Bwv1005_Violin_Sonata_n3_2mov_Fugue.mid,Bwv1005_Violin_Sonata_n3_2mov_Fugue.mid,0,False
bach,007514b_.mid,007514b_.mid,0,False
bach,040300b_.mid,040300b_.mid,0,False
beethoven,Sonata_No_17_in_D_minor_op_31_No_2__Tempest.mid,Sonata_No_17_in_D_minor_op_31_No_2__Tempest.mid,0,False
beethoven,Piano_Sonata_n21_2mov_Waldstein.mid,Piano_Sonata_n21_2mov_Waldstein.mid,0,False
bach,6Herzliebster_Jesu_Chorus.mid,6Herzliebster_Jesu_Chorus.mid,0,False
bach,Bwv0565_Toccata_and_Fugue_In_Dm_C.mid,Bwv0565_Toccata_and_Fugue_In_Dm_C.mid,0,False
bach,014406b_.mid,014406b_.mid,0,False
beethoven,Sonata_Opus111_C_minor_No2.mid,Sonata_Opus111_C_minor_No2.mid,0,False
bach,Bwv1052_Harpsichord_Concerto_n1_1mov.mid,Bwv1052_Harpsichord_Concerto_n1_1mov.mid,0,False
bach,Bwv0063.mid,Bwv0063.mid,0,False
bach,Piano_version_of_Bachs_two_part_inventions_No3.mid,Piano_version_of_Bachs_two_part_inventions_No3.mid,0,False
