composer,filename,work,fold
bach,AveMaria.mid,avemaria,1
bach,01_Menuet.mid,01_menuet,2
bach,02_Menuet.mid,02_menuet,3
bach,03_Menuet.mid,03_menuet,0
bach,04_Menuet.mid,04_menuet,3
bach,05_Polonaise.mid,05_polonaise,0
bach,06_Menuet.mid,06_menuet,3
bach,07_Rondo.mid,07_rondo,1
bach,08_Polonaise.mid,08_polonaise,4
bach,09_Menuet.mid,09_menuet,4
bach,10_Menuet.mid,10_menuet,4
bach,11_Marche.mid,11_marche,3
bach,12_Polonaise.mid,12_polonaise,4
bach,13_Marche.mid,13_marche,3
bach,14_Polonaise.mid,14_polonaise,2
bach,16_Marche.mid,16_marche,0
bach,17_Polonaise.mid,17_polonaise,3
bach,003706b_.mid,003706b,4
bach,003806b_.mid,003806b,4
bach,003907b_.mid,003907b,1
bach,003907bv.mid,003907bv,0
bach,004003b_.mid,004003b,0
bach,004006b_.mid,004006b,3
bach,004008b_.mid,004008b,2
bach,004106b_.mid,004106b,4
bach,004106bs.mid,004106bs,3
bach,004207b_.mid,004207b,0
bach,004407b_.mid,004407b,3
bach,004606b_.mid,004606b,4
bach,004606bs.mid,004606bs,0
bach,004705b_.mid,004705b,0
bach,004803b_.mid,004803b,2
bach,004807b_.mid,004807b,0
bach,005206b_.mid,005206b,4
bach,005505b_.mid,005505b,0
bach,005605b_.mid,005605b,4
bach,005708b_.mid,005708b,3
bach,005903b_.mid,005903b,0
bach,006005b_.mid,006005b,0
bach,006106b_.mid,006106b,0
bach,006206b_.mid,006206b,1
bach,006402b_.mid,006402b,4
bach,006408b_.mid,006408b,3
bach,006502b_.mid,006502b,0
bach,006507b_.mid,006507b,0
bach,006606b_.mid,006606b,0
bach,006704b_.mid,006704b,2
bach,006906b_.mid,006906b,1
bach,006906ba.mid,006906ba,1
bach,006906bav.mid,006906bav,3
bach,007007b_.mid,007007b,2
bach,007011b_.mid,007011b,0
bach,007011ch.mid,007011ch,0
bach,007206b_.mid,007206b,4
bach,007305b_.mid,007305b,2
bach,007305bv.mid,007305bv,4
bach,007408b_.mid,007408b,3
bach,007507b_.mid,007507b,2
bach,007514b_.mid,007514b,2
bach,007607b_.mid,007607b,2
bach,007614b_.mid,007614b,0
bach,007706b_.mid,007706b,0
bach,007807b_.mid,007807b,4
bach,007903b_.mid,007903b,0
bach,007903bs.mid,007903bs,0
bach,007906b_.mid,007906b,3
bach,008008b_.mid,008008b,0
bach,008107b_.mid,008107b,4
bach,008305b_.mid,008305b,0
bach,008405b_.mid,008405b,3
bach,008606b_.mid,008606b,3
bach,008906b_.mid,008906b,3
bach,009005b_.mid,009005b,4
bach,009106b_.mid,009106b,1
bach,009106ch.mid,009106ch,0
bach,009207b_.mid,009207b,3
bach,009209b_.mid,009209b,1
bach,009307b_.mid,009307b,2
bach,009408b_.mid,009408b,0
bach,009606b_.mid,009606b,4
bach,009709ch.mid,009709ch,4
bach,009801b_.mid,009801b,1
bach,009906b_.mid,009906b,3
bach,010006b_.mid,010006b,1
bach,010107b_.mid,010107b,2
bach,010207b_.mid,010207b,1
bach,010306b_.mid,010306b,4
bach,010506b_.mid,010506b,3
bach,010602b_.mid,010602b,3
bach,010707b_.mid,010707b,4
bach,010806b_.mid,010806b,0
bach,011007b_.mid,011007b,4
bach,011106b_.mid,011106b,0
bach,011205b_.mid,011205b,3
bach,011308b_.mid,011308b,4
bach,011407b_.mid,011407b,0
bach,011506b_.mid,011506b,4
bach,011506bv.mid,011506bv,4
bach,011606b_.mid,011606b,3
bach,011704b_.mid,011704b,1
bach,011704v1.mid,011704v1,1
bach,011704v2.mid,011704v2,3
bach,011909b_.mid,011909b,0
bach,012008ba.mid,012008ba,4
bach,012106b_.mid,012106b,3
bach,012206b_.mid,012206b,4
bach,012306b_.mid,012306b,1
bach,012406b_.mid,012406b,2
bach,012506b_.mid,012506b,4
bach,012606bv.mid,012606bv,3
bach,012705b_.mid,012705b,3
bach,012805b_.mid,012805b,0
bach,012905b_.mid,012905b,0
bach,013006b_.mid,013006b,3
bach,013306b_.mid,013306b,0
bach,013606b_.mid,013606b,1
bach,013701b_.mid,013701b,1
bach,013702b_.mid,013702b,4
bach,013705ch.mid,013705ch,0
bach,013807b_.mid,013807b,4
